,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc20
dissipations,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
dissolute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dissolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
dissolve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
dissolved,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dissuade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dissuasions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
distance,0,1,0,1,2,3,1,3,6,3,0,2,8,1,2,4,8,5,14,12
distances,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
distance—and,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distant,0,0,0,0,0,2,1,1,2,0,0,0,3,1,1,3,0,4,2,2
distant—in,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
distinct,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,2,1,0,0
distinction,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,0,0,0
distinctions,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0
distinctive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
distinctly,0,1,1,0,0,0,3,2,3,3,2,1,3,1,0,2,1,1,0,1
distinctness,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
distinguish,1,0,0,0,0,1,2,1,3,1,1,1,1,0,0,1,2,1,3,3
distinguished,1,1,0,2,0,2,0,1,2,3,3,5,1,1,1,1,1,0,2,3
distinguishes,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
distinguishing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
distinguée,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distorted,1,1,0,0,1,0,1,1,0,0,0,0,0,1,2,1,1,4,0,1
distract,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
distracted,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,1,0,0,0
distractedly,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
distraction,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
distractions,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
distraught,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
distress,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,3,2
distressed,0,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
distressful,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
distressing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
distributed,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,4,0
distributing,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
distribution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
district,0,0,0,0,0,0,0,0,0,1,0,3,1,0,2,2,1,3,2,2
districts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
distrust,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
distrusted,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
distrustful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
distrust—but,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
disturb,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
disturbance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
disturbed,0,1,1,0,0,0,1,0,0,1,0,1,2,1,2,0,1,1,0,1
disturbing,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
ditch,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0
ditches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dites,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dites-lui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
divan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
diverge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
diverse,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,2,2,1,3
diversion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
diversions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
diversity,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
divert,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
diverted,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
diverting,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
divest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
divided,0,0,0,0,1,0,0,1,0,1,2,3,2,0,2,3,2,0,0,0
divided—not,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dividing,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
divine,0,0,0,0,7,0,0,0,0,2,0,0,0,1,0,0,0,3,2,1
divined,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
divining,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
divinities,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
divinity,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
division,0,0,0,0,0,1,3,0,6,0,1,6,0,1,1,2,18,1,7,1
division.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
divisions,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,4
division—stipulates,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
divorce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
divorced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
dizzy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
do,19,17,20,7,34,26,17,25,47,41,64,43,62,57,48,48,78,70,47,49
do-ne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
do.,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0,1,0,0,0
doctor,0,1,3,4,5,0,5,2,1,9,2,17,0,8,20,13,13,15,12,5
doctor.,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
doctors,0,0,2,2,4,0,0,0,0,1,0,3,2,1,5,0,6,0,2,4
doctors—one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
doctor—Métivier—who,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
doctrine,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
document,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
documents,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2
dodge,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
does,3,3,4,0,7,0,8,5,6,9,14,4,11,8,12,6,12,14,15,14
doesn,0,0,1,1,1,1,0,0,0,3,0,3,1,10,2,0,1,2,1,2
doffed,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
doffing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
dog,0,1,0,3,0,0,1,1,1,0,1,3,11,0,0,0,1,0,8,10
dog.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dogs,0,0,0,1,0,1,0,0,0,0,0,1,24,0,1,1,1,1,0,1
dogs.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dogs—my,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
doing,2,1,0,0,3,2,4,3,6,4,7,10,7,6,9,8,15,10,19,8
doing.,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
doings,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,2,0,1,0
doled,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
doleful,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dolefully,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
doll,0,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
doll-like,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dolls,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
domain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
domes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
domestic,0,0,0,1,1,0,0,0,0,1,1,0,3,0,0,7,0,3,1,0
domestics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dominant,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dominated,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
dominating,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
don,11,18,16,10,23,11,7,10,23,19,19,12,30,47,23,29,23,25,12,18
donc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
done,2,6,7,6,8,5,8,8,6,16,16,19,12,9,26,26,28,20,24,21
done.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
done—did,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
done—to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
donne,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
donned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1
donning,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
dont,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
doom,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
doomed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
door,1,3,7,6,32,10,7,3,11,28,13,14,21,26,14,29,5,38,32,15
door.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
doorpost,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
doors,0,0,2,0,1,0,1,0,0,1,2,2,3,1,2,2,0,6,1,1
doorway,0,1,0,0,1,2,1,0,0,2,0,0,1,1,1,1,0,2,0,0
doorways,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
door—speaking,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
door—the,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
doppelkümmel,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dormir,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
doses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
dotage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dotard,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
doting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dotted,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
double,0,0,0,0,0,1,0,0,1,1,2,1,1,1,2,0,2,2,1,1
doubled,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
doubles,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doubling,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
doubly,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
doubt,2,0,0,1,1,1,1,4,2,3,3,4,3,3,6,1,7,1,7,2
doubt.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
doubted,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0
doubtful,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
doubtfully,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
doubting,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
doubts,0,0,0,0,1,0,0,0,1,1,5,5,2,1,2,1,0,0,3,0
douceur,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
douleurs,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
doute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dove-like,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dovey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dowerless,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
down,9,12,13,18,23,21,14,27,19,29,36,34,54,46,34,46,59,68,49,47
down.,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1
downcast,0,0,0,0,0,1,0,2,0,1,2,1,1,2,1,0,1,1,0,0
downfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
downhill,0,0,0,0,0,0,1,0,3,0,0,1,2,1,2,0,1,0,0,0
downstairs,0,0,1,0,1,0,0,0,0,1,1,1,2,0,0,2,0,2,2,1
downstairs.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
downward,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1
downwards,1,0,0,1,2,0,0,2,0,1,1,0,0,1,0,1,1,0,0,0
downy,0,2,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0
down—capitally,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dowry,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,1,0,0
doze,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
dozed,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,2,0
dozen,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0,3,2,1,2
dozens,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0
dozing,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
do—it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
do—nonsense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
do—perished,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
do—themselves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
draft,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0
drafts,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
drag,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
dragged,0,0,0,0,0,0,1,4,0,0,0,2,1,1,0,2,4,5,3,1
dragging,0,0,0,0,0,2,4,1,1,1,0,0,0,2,0,2,2,2,0,3
dragnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dragon,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dragoon,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4,0,0
dragoons,0,0,0,0,0,0,5,1,0,0,0,0,0,0,12,1,0,8,0,0
drags,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dramatic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dramshop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
drank,0,2,0,2,0,0,0,0,1,3,0,3,0,5,2,1,0,2,0,0
draped,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
draping,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
draught,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draughts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
draw,0,0,0,0,2,2,0,1,0,1,2,0,1,3,1,1,4,3,2,0
drawer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
drawers,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
drawing,10,13,9,7,9,5,3,14,1,13,9,7,19,21,19,10,6,13,12,5
drawings,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
drawled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
drawn,0,1,0,1,2,2,5,5,3,0,2,3,1,2,5,4,6,6,9,6
drawn-in,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dread,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,1,2,1,0
dreaded,0,0,0,0,1,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0
dreadful,0,1,3,0,1,0,1,3,2,1,3,0,2,6,0,3,0,5,9,7
dreadfully,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
dreadfully—and,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dream,0,0,0,0,1,0,0,2,1,0,2,4,3,1,0,1,1,7,2,2
dreamed,0,0,0,0,1,0,0,1,0,2,0,4,1,1,0,0,0,1,1,1
dreamer,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dreamers,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dreamest,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dreaminess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dreaming,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0
dreams,0,0,0,0,0,0,0,0,2,1,1,1,1,2,0,0,0,0,1,2
dreamy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
dreary,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
dregs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
drenched,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
dress,8,5,1,4,4,0,0,18,1,5,1,4,11,14,5,5,1,4,0,6
dressed,1,0,1,1,4,0,3,2,4,5,2,1,9,9,3,2,4,5,8,5
dressed.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dresser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
dressers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
dresses,0,3,0,0,1,0,0,1,0,2,1,0,7,5,1,0,1,3,0,0
dressing,0,0,0,0,5,0,1,4,3,9,1,3,9,8,2,2,4,11,4,0
dressings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
dressmaker,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
dressmakers,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
drew,1,2,3,1,8,6,3,5,6,5,7,10,7,4,9,5,4,7,8,8
dried,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,3,0,1,1,1
dried-up,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dries,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
drifted,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drink,0,5,0,2,2,2,0,1,2,0,1,7,0,4,2,1,3,5,1,3
drinker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
drinking,0,2,0,1,0,1,2,0,2,0,0,0,0,1,0,1,2,2,1,1
drinks,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
drip,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
dripping,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
drive,0,2,0,0,1,0,2,1,1,1,4,0,5,8,3,3,5,8,1,2
driven,0,0,1,0,0,0,1,1,0,2,2,0,1,4,2,1,3,4,3,1
driver,0,0,0,0,0,0,2,1,0,4,0,0,1,4,0,0,2,4,1,2
drivers,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0
drives,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
driving,0,0,0,0,1,2,2,3,0,1,1,1,2,4,1,3,3,5,2,2
drizzling,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
droits,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
droll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
drone,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
droned,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
drones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
droop,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
drooped,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
drooping,0,1,0,0,0,0,1,2,1,1,0,0,0,0,1,1,0,1,3,0
drop,1,0,0,0,1,0,0,0,3,1,1,0,0,3,0,3,0,1,1,4
dropped,1,1,0,0,4,2,0,1,3,3,1,0,3,2,0,5,2,2,2,2
dropping,0,0,1,1,1,0,0,0,0,2,0,1,0,2,1,0,1,3,1,0
drops,0,0,0,0,0,0,0,0,0,0,3,2,1,0,4,1,2,2,0,5
drought,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
drove,0,0,1,1,1,0,2,1,2,4,2,2,4,17,8,7,6,7,7,6
drown,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
drowned,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,2,0,2,2,1
drowning,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0
drowsily,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drowsiness,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
drowsing,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
drowsy,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
drudgery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
drug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
drum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
drummer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,12
drummers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
drummer—a,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drumming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
drums,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
drunk,0,1,0,0,0,1,0,0,2,4,0,2,1,1,1,2,1,5,0,1
drunk.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
drunkard,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
drunken,0,2,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,7,1,0
drunkenness,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
dry,1,0,0,0,1,0,1,0,1,1,0,0,0,6,3,0,2,4,2,3
dry-eyed,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
dry.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
drying,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
dryly,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
du,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,3,0,1,1
dual,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dubiously,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
duc,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duchy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
duck,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ducked,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0
duc—or,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dudgeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
due,0,0,0,0,3,0,2,2,1,0,2,1,2,1,2,3,4,3,5,6
duel,0,0,0,0,0,0,0,0,1,13,5,2,0,2,2,0,0,1,0,2
dueling,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
duelist,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
duels,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
duets,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
dug,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,1,3,0,1,1
dugout,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
duke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
dukes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
dukes—whose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
duke—it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
duke—whom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dull,1,0,1,2,0,1,4,4,2,1,2,3,4,4,1,1,0,4,4,2
dull-witted,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dulled,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
